"","Andrena_arabis","Andrena_carlini","Andrena_cressonii","Andrena_distans","Andrena_erigeniae","Andrena_erythronii","Andrena_forbesii","Andrena_geranii","Andrena_illini_sayi","Andrena_imitatrix","Andrena_mandibularis","Andrena_miserabilis","Andrena_nasonii","Andrena_personata","Andrena_polemonii","Andrena_pruni","Andrena_rugosa","Andrena_violae","Anthophora_ursina","Apis_mellifera","Augochlora_pura","Augochlorella_aurata","Augochloropsis_fulgida_metallica","Bombus_bimaculatus","Bombus_griseocollis","Bombus_impatiens","Bombus_pensylvanicus","Bombus_vagans","Ceratina_calcarata_dupla_strenua","Chelostoma_philadelphi","Colletes_inaequalis","Eucera_dubitata","Halictus_ligatus","Halictus_rubicundus","Hylaeus_modestus","Lasioglossum_cinctipes","Lasioglossum_coeruleum","Lasioglossum_coriaceum","Lasioglossum_cressonii","Lasioglossum_foxii","Lasioglossum_imitatum","Lasioglossum_macoupinense","Lasioglossum_obscurum","Lasioglossum_tegulare","Lasioglossum_versatum","Lasioglossum_zephyrum","Nomada_cressonii","Nomada_denticulata","Nomada_hydrophylli","Nomada_luteoloides","Nomada_parva","Nomada_sayi","Osmia_bucephala","Osmia_pumila"
"Dentaria_laciniata",2,17,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,44,0,1,0,0,0,0,0,0,17,0,6,0,0,0,0,0,1,0,1,0,3,0,1,0,0,0,1,0,0,1,0,0,2,0
"Claytonia_virginica",0,64,16,0,452,11,9,0,4,6,0,5,48,41,0,4,5,0,0,36,11,49,6,0,0,0,0,0,16,0,67,0,1,1,0,1,8,0,6,2,13,2,9,1,16,0,2,0,0,2,7,2,0,0
"Dicentra_cucullaria",0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erigenia_bulbosa",0,118,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erythronium_albidum",0,14,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phlox_divaricata",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sanicula_odorata",0,1,21,0,0,0,1,2,0,0,0,0,5,125,0,1,0,0,0,2,21,16,22,1,0,0,0,0,7,1,0,1,0,0,1,0,1,2,58,0,1,109,56,0,0,0,0,0,0,0,21,3,0,1
"Uvularia_grandiflora",0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Viola_pubescens",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Hydrophyllum_appendiculatum",0,0,1,0,0,0,0,27,0,0,0,0,1,0,0,0,0,0,0,261,9,0,1,17,12,1,0,0,6,1,0,15,0,0,0,0,0,2,2,1,2,4,0,0,0,0,0,0,3,0,0,0,0,0
"Ranunculus_hispidus_var_nitidus",0,0,10,0,1,0,0,1,0,0,0,0,6,19,0,0,0,0,0,1,2,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10,0,0,1,2,0,0,0,0,1,0,0,5,0,0,0
"Tradescantia_virginiana",0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,3,6,3,4,0,2,0,1,9,0,0,5,1,0,0,0,0,4,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2
"Geranium_maculatum",0,0,0,10,2,0,0,26,0,0,0,0,1,2,0,0,0,0,0,3,16,29,0,2,0,0,0,0,20,0,0,0,0,0,0,0,1,2,3,1,0,3,2,0,0,0,1,0,0,1,0,0,1,3
"Anemonella_thalictroides",0,0,0,0,3,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"Viola_sororia",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Hydrophyllum_virginianum",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,14,0,0,0,0,5,0,0,1,0,0,0,0,0,4,3,0,0,3,4,0,0,0,0,0,0,0,0,0,0,1
"Mertensia_virginica",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60,0,1,0,8,0,4,0,0,0,0,1,0,0,0,0,0,2,0,4,1,0,0,1,0,0,0,1,0,0,0,0,0,6,0
"Isopyrum_biternatum",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,2,0,3,0,0,1,0,0,0,0,0,0,0,0
"Polemonium_reptans",0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Camassia_scilloides",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,14,0,0,0
"Delphinium_tricorne",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,21,0,1,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Monarda_bradburiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,1,10,0,0,0,1,11,0,0,0,0,0,0,0,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"Maianthemum_racemosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oxalis_violacea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
