"ID","Species","Interactions","Connectance","Type of interactions","Type of data","Reference","Locality of Studi","Latitude","Longitude"
"M_PL_001","185","361","0.043","Pollination","0","Arroyo, M.T.K., R. Primack & J.J. Armesto. 1982. Community studies in pollination ecology in the high temperate Andes of central Chile. I. Pollination mechanisms and altitudinal variation. Amer. J. Bot. 69:82-97.","Cordon del Cepo, Chile","-33.283334","-70.266668"
"M_PL_002","107","196","0.071","Pollination","0","Arroyo, M.T.K., R. Primack & J.J. Armesto. 1982. Community studies in pollination ecology in the high temperate Andes of central Chile. I. Pollination mechanisms and altitudinal variation. Amer. J. Bot. 69:82-97.","Cordon del Cepo, Chile","-33.283334","-70.266668"
"M_PL_003","61","81","0.09","Pollination","0","Arroyo, M.T.K., R. Primack & J.J. Armesto. 1982. Community studies in pollination ecology in the high temperate Andes of central Chile. I. Pollination mechanisms and altitudinal variation. Amer. J. Bot. 69:82-97.","Cordon del Cepo, Chile","-33.283334","-70.266668"
"M_PL_004","114","167","0.136","Pollination","1","Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.","Central New Brunswick, Canada","46.553731","-66.071245"
"M_PL_005","371","923","0.035","Pollination","0","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.","Pikes Peak, Colorado, USA","38.841784","-105.043821"
"M_PL_006","78","146","0.141","Pollination","1","Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.","Hickling, Norfolk, UK","52.762395","1.575532"
"M_PL_007","52","85","0.148","Pollination","1","Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.","Shelfanger, Norfolk, UK","52.413173","1.097873"
"M_PL_008","49","106","0.254","Pollination","0","Dupont YL, Hansen DM and Olesen JM (2003) Structure of a plant-flower-visitor network in the high-altitude sub-alpine desert of Tenerife, Canary Islands. Ecography 26:301-310.","Tenerife, Canary Islands","28.216667","-16.633333"
"M_PL_009","142","242","0.085","Pollination","0","Elberling, H. & Olesen, J. M. 1999. The structure of a high latitude plant-pollinator system: The dominance of flies. Ecography 22:314-323.","Latnjajaure, Abisko, Sweden","68.35","18.5"
"M_PL_010","107","456","0.194","Pollination","0","Elberling & Olesen unpubl.","Zackenberg","74.5","-20.5"
"M_PL_011","27","52","0.286","Pollination","0","Olesen, J.M., Eskildsen, L.I. & Venkatasamy, S. (2002). Div. Distr., 8:181-192.","Mauritius Island","-20.348404","57.552152"
"M_PL_012","84","145","0.091","Pollination","0","Olesen unpubl.","Garajonay, Gomera, Spain","28.127842","-17.248908"
"M_PL_013","65","103","0.204","Pollination","1","Ollerton, J., S. D. Johnson, L. Cranmer, and S. Kellie. 2003. The pollination ecology of an assemblage of grassland asclepiads in South Africa. Annals of Botany 92:807-834.","KwaZulu-Natal region, South Africa","-29.616667","30.133333"
"M_PL_014","110","179","0.076","Pollination","0","Hocking, B. 1968. Insect-flower associations in the high Arctic with special reference to nectar. Oikos 19:359-388.","Hazen Camp, Ellesmere Island, Canada","81.816667","-71.3"
"M_PL_015","797","2933","0.034","Pollination","0","Petanidou, T. (1991). Pollination ecology in a phryganic ecosystem. Unp. PhD. Thesis, Aristotelian University, Thessaloniki.","Daphno­, Athens, Greece","38.014466","23.635043"
"M_PL_016","205","412","0.089","Pollination","0","Herrera, J. (1988) Pollination relatioships in southern spanish mediterranean shrublands. Journal of Ecology 76: 274-287.","Doo±ana Nat. Park, Spain","37.016667","-6.55"
"M_PL_017","104","299","0.151","Pollination","1","Memmott J. 1999. The structure of a plant-pollinator food web. Ecology Letters 2:276-280.","Bristol, England","51.574994","-2.589902"
"M_PL_018","144","383","0.094","Pollination","0","Olesen unpubl.","Hestehaven, Denmark","56.238737","9.973652"
"M_PL_019","125","264","0.078","Pollination","1","Inouye, D. W., and G. H. Pyke. 1988. Pollination biology in the Snowy Mountains of Australia: comparisons with montane Colorado, USA. Australian Journal of Ecology 13:191-210.","Snowy Mountains, Australia","-36.45","148.266667"
"M_PL_020","111","190","0.104","Pollination","0","Kevan P. G. 1970. High Arctic insect-flower relations: The interrelationships of arthropods and flowers at Lake Hazen, Ellesmere Island, Northwest Territories, Canada. Ph.D. thesis, University of Alberta, Edmonton, 399 pp.","Hazen Camp, Ellesmere Island, Canada","81.816667","-71.3"
"M_PL_021","768","1193","0.019","Pollination","0","Kato, M., Kakutani, T., Inoue, T. and Itino, T. (1990). Insect-flower relationship in the primary beech forest of Ashu, Kyoto: An overview of the flowering phenology and the seasonal pattern of insect visits. Contrib. Biol. Lab., Kyoto, Univ., 27, 309-375.","Ashu, Kyoto, Japan","35.333333","135.75"
"M_PL_022","66","83","0.088","Pollination","0","Medan, D., N. H. Montaldo, M. Devoto, A. Mantese, V. Vasellati, and N. H. Bartoloni. 2002. Plant-pollinator relationships at two altitudes in the Andes of Mendoza, Argentina. Arctic Antarctic and Alpine Research 34:233-241.","Laguna Diamante, Mendoza, Argentina","-34.166667","-69.7"
"M_PL_023","95","125","0.075","Pollination","0","Medan, D., N. H. Montaldo, M. Devoto, A. Mantese, V. Vasellati, and N. H. Bartoloni. 2002. Plant-pollinator relationships at two altitudes in the Andes of Mendoza, Argentina. Arctic Antarctic and Alpine Research 34:233-241.","Rio Blanco, Mendoza, Argentina","-33","-69.283333"
"M_PL_024","29","38","0.192","Pollination","1","Mosquin, T., and J. E. H. Martin. 1967. Observations on the pollination biology of plants on Melville Island, N.W.T., Canada. Canadian Field Naturalist 81:201-205.","Melville Island, Canada","75","-114.966667"
"M_PL_025","57","143","0.25","Pollination","1","Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.","North Carolina, USA","36.075391","-79.001843"
"M_PL_026","159","204","0.036","Pollination","0","McMullen, C. K. 1993. Flower-visiting insects of the Galapagos Islands. Pan-Pacific Entomologist 69:95-106","Galapagos","-0.5","-90.5"
"M_PL_027","78","120","0.111","Pollination","0","Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. AP.","Arthur's Pass, New Zealand","-42.95","171.566667"
"M_PL_028","180","374","0.066","Pollination","0","Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. Cass.","Cass, New Zealand","-43.02823","171.78466"
"M_PL_029","167","346","0.06","Pollination","0","Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. Craigieb.","Craigieburn, New Zealand","-43.099531","171.720224"
"M_PL_030","81","109","0.073","Pollination","0","Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.","Guarico State, Venezuela","8.933333","-67.416667"
"M_PL_031","97","156","0.066","Pollination","0","Ramirez, N. (1989). Biologo­a de polinizacion en una comunidad arbustiva tropical de la alta Guyana Venezolana. Biotropica 21, 319-330.","Canaima Nat. Park, Venezuela","5.583333","-61.716667"
"M_PL_032","40","65","0.281","Pollination","0","Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.","Brownfield, Illinois, USA","40.133333","-88.166667"
"M_PL_033","47","141","0.319","Pollination","1","Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.","Ottawa, Canada","45.4","-75.5"
"M_PL_034","154","312","0.094","Pollination","0","Smith-Ramo­rez C., P. Martinez, M. Nuo±ez, C. Gonzalez and J. J. Armesto (2005) Diversity, flower visitation frequency and generalism of pollinators in temperate rain forests of Chiloe Island,Chile. Botanical Journal of the Linnean Society, 2005, 147, 399-416.","Chiloe, Chile","-42","-73.583333"
"M_PL_035","97","178","0.081","Pollination","0","Percival, M. (1974). Floral Ecology of Coastal Scrub in Southeast Jamaica. Biotropica, 6, 104-129.","Morant Point, Jamaica","17.916667","-76.191667"
"M_PL_036","22","30","0.25","Pollination","0","Olesen unpubl.","Flores, Ao§ores","39.466667","-31.227222"
"M_PL_037","50","72","0.18","Pollination","0","Montero AC (2005).The Ecology of Three Pollination Networks. MSc thesis (Univ of Aarhus, Aarhus, Denmark).","Hestehaven, Denmark","56.248737","9.973652"
"M_PL_038","50","79","0.235","Pollination","0","Montero AC (2005).The Ecology of Three Pollination Networks. MSc thesis (Univ of Aarhus, Aarhus, Denmark).","Hestehaven, Denmark","56.238737","9.993652"
"M_PL_040","72","114","0.091","Pollination","1","Ingversen TT (2006). Plant-pollinator interactions on Jamaica and Dominica: The centrality, asymmetry and modularity of networks. Msc thesis (Univ of Aarhus, Aarhus, Denmark).","Windsor, The Cockpit Country, Jamaica","18.353889","-77.645278"
"M_PL_041","74","145","0.109","Pollination","1","Ingversen TT (2006) MSc thesis (Univ of Aarhus, Aarhus, Denmark). (MSc, 2006, Tanja Toftemark Ingversen, Plant pollinator interactions on Jamaica and Dominica: The centrality, asymmetry and modularity of networks)","Syndicate, Dominica","15.518889","-61.467222"
"M_PL_042","18","25","0.347","Pollination","0","Philipp M, Bo¶cher J, Siegismund HR, Nielsen LR (2006) Ecography 29:531-540. (Philipp, M., Bo¶cher, J., Siegismund, H. R. and Nielsen, L. R. 2006. Structure of a plant-pollinator network on a pahoehoe lava desert of the Galapagos Islands. - Ecography 29: 531- 40.)","Puerto Villamil, Isabela Island, Galapagos","-0.949194","-90.977222"
"M_PL_043","110","250","0.109","Pollination","0","Montero AC (2005).The Ecology of Three Pollination Networks. MSc thesis (Univ of Aarhus, Aarhus, Denmark).","Hestehaven, Denmark","56.238737","9.953652"
"M_PL_044","719","1125","0.017","Pollination","1","Kato M (2000).Anthophilous insect community and plant-pollinator interactions on Amami Islands in the Ryukyu Archipelago, Japan. Contr Biol Lab Kyoto Univ 29:157-252.","Amami-Ohsima Island, Japan","28.377248","129.493741"
"M_PL_045","43","63","0.143","Pollination","1","Lundgren R, Olesen JM (2005). The Dense and Highly Connected World of Greenland's Plants and Their Pollinators. Arc Antarc Alp Res 37:514-520.","Uummannaq Island, Greenland","71","-52"
"M_PL_046","60","278","0.395","Pollination","0","Bundgaard, M. (2003). Tidslig og rumlig variation i et plante-besto¸vernetvaerk. Msc thesis. University of Aarhus. Aarhus, Denmark.","Denmark","56.066667","10.233333"
"M_PL_047","205","425","0.12","Pollination","0","Dupont & Olesen(2009). J. Animal Ecology, 78:346-353.","Isenbjerg","56.066667","9.266667"
"M_PL_048","266","671","0.095","Pollination","0","Dupont & Olesen(2009). J. Animal Ecology, 78:346-353.","Denmark","56.1","9.1"
"M_PL_049","262","590","0.071","Pollination","0","Bek S (2006). A pollination network from a Danish forest meadow. MSc thesis (Univ of Aarhus, Aarhus, Denmark).","Denmark","56.066667","10.216667"
"M_PL_050","49","86","0.176","Pollination","0","Stald, L., Valido, A. & Olesen, J. M. 2003. Struktur og dynamik i rum og tid at et besto¸vningsnetvaerk pa Tenerife, De Kanariske oer. MSc-thesis, Univ. of Aarhus, Denmark.","Tenerife, Canary Islands","28.268611","-16.605556"
"M_PL_051","104","164","0.13","Pollination","1","Vazquez DP. 2002. Interactions among Introduced Ungulates, Plants, and Pollinators: A Field Study in the Temperate Forest of the Southern Andes. Ph.D. Dissertation. Department of Ecology and Evolutionary Biology, University of Tennessee, Knoxville.","Nahuel Huapi National Park, Argentina","-41.077069","-71.525206"
"M_PL_052","54","92","0.157","Pollination","0","Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark.","Tundra, Greenladn","66.966667","-50.55"
"M_PL_053","393","589","0.02","Pollination","0","Yamazaki, K. & Kato, M. 2003. Flowering phenology and anthophilous insect community in a grassland ecosystem at Mt. Yufu, Western Japan. Contributions from the Biological Laboratory, Kyoto University 29: 255-318.","Mt. Yufu, Japan","33.4","131.5"
"M_PL_054","431","773","0.022","Pollination","1","Kakutani, T., T. Inoue, M. Kato and H. Ichihashi (1990) Insect-flower relationship in the campus of Kyoto University, Kyoto: An overview of the flowering phenology and the seasonal pattern of insect visits. Contribution from the Biological Laboratory, Kyoto University, 27: 465-521.","Kyoto City, Japan","35.033333","135.783333"
"M_PL_055","259","431","0.035","Pollination","1","Kato & Miura (1996). Flowering phenology and anthophilous insect community at a threatened natural lowland marsh at Nakaikemi in Tsuruga, Japan. Kyoto University, Vol. 29: 1-48","Nakaikemi marsh, Fukui Prefecture, Japan","35.65","136.083333"
"M_PL_056","456","871","0.026","Pollination","1","Kato et al. 1993. Flowering Phenology and Anthophilous Insect Community in the Cool-Temperate Subalpine Forests and Meadows at Mt. Kushigata in the Central Part of Japan. Contributions from the Biological Laboratory, Kyoto University 28: 119-172","Mt. Kushigata, Yamanashi Pref., Japan","35.583333","138.383333"
"M_PL_057","997","1920","0.019","Pollination","1","Inoue et al 1990. Insect-flower Relationship in the Temperate Deciduous Forest of Kibune, Kyoto : An Overview of the Flowering Phenology and the Seasonal Pattern of Insect Visits.","Kibune, Kyoto, Japan","35.166667","135.866667"
"M_PL_039","68","129","0.149","Pollination","0","Stald L (2003). Struktur og dynamik i rum og tid af et besto¸vningsnetvaerk pa Tenerife, De Kanariske oer. Msc thesis (Univ of Aarhus, Aarhus, Denmark).","Tenerife, Canary Islands","28.268611","-16.605556"
"M_PL_058","113","319","0.123","Pollination","1","Bartomeus, I., Vilo , M. & Santamaria, L., 2008. Contrasting effects of invasive plants in plant-pollinator networks. Oecologia 155: 761-770.","Parc Natural del Cap de Creus","42.2973","3.235217"
"M_PL_059","26","71","0.42","Pollination","1","Bezerra ELS, Machado ICS, Mello MAR. 2009. Pollination networks of oil-flowers: a tiny world within the smallest of all worlds. Journal of Animal Ecology 78:1096-1101.","Parque Nacional do Catimbau","-8.505","-37.201389"
